 |WURZEL|STAMM|VERB|NOMEN|ADJEKTIV|WEITERE|KOGNATE|BEDEUTUNG|GLOSE
| schwirr | schwirr | schwirr -en | | | | | |
| schwitz | schwitz | schwitz -en | | | | | |
| schwof | schwof | schwof -en | der Schwof | | | |Ort| "Tanzveranstaltung"
| schwoj | schwoj | schwoj -en | | | | | | "um den Anker drehen"
| schwör | schwör | schwör -en | die Schwur (A) | | | |Stimmgeräusch|
| schwul | schwul | ver- schwul -en | | schwul | | | |
| schwumse | schwumse | schwumse -n | die Schwumse | | | |Resultat| "Prügel"
| schwupp | schwupp | schwupp -en | | | | ~ schwapp, schwipp | |
| schwurbel | schwurbel | schwurbel -n | | | | |Stimmgeräusch|
| scroll | scroll | scroll -en | | | | neues Lehnwort < en. | |
| seele | seele | be/ent- seele -n | die Seele | | | |Empfindung|
| segel | segel | segel -n | das Segel | | | |Instrument|
| segen | segn | segn -en | der Segen | | | |Resultat|
| seh | seh | seh -en | | | | | |
| sehn | sehn | sehn -en | | | | | |
| sehr | sehr | ver- sehr -en | | | sehr | | |
| sei | sei | sei -n | | | | | |
| seich | seich | seich -en | | | | ~ seihen |Körperbewegung| "pinkeln"
| seife | seife | ein/ver- seife -n | die Seife | | | |Instrument|
| seih | seih | seih -en | | | | | | "filtern"
| seil | seil | ab- seil -en | das Seil | | | |Instrument|
| seite | ein- seit -ig | ver- einseitig -en | | einseitig | | | |
| seite | seit | be- seit -ig -en | die Seite | | | |Ort| "bei Seite schaffen"
| selbst | selbst | ent- selbst -en | | | selbst | | |
| selch | selch | selch -en | | | | | | "fleisch trocknen"
| selig | selig | be- selig -en | | selig | | | |
| sell | ge- sell -e | geselle -n | der Geselle | | | |Lebewesen|
| sell | ge- sell -schaft | ver- gesellschaft -en | die Gesellschaft | | | |???|
| semmel | semmel | ver- semmel -n | die Semmel | | | Lehnwort < lat. simila  |???|
| send | send | send -en | die Send -ung | | | | |
| senge | senge | senge -n | die Senge | | | ~ versengen |Resultat|
| sense | sense | sense -n | die Sense | | | |Resultat|
| serb | serb | serb -el -n | | | | ~ abserbeln | | "welken"
| serb | serb | serb -en | | | | | | "kränkeln"
| seuche | seuche | ent/ver- seuche -n | die Seuche | | | |Resultat|
| seufz | seufz | seufz -en | | | | < mhd. siuften |Stimmgeräusch|
| share | share | share -n | | | | neues Lehnwort < en. | |
| shop | shop | shopp -en | der Shop | | | neues Lehnwort < en. |Ort|
| sichel | sichel | sichel -n | die Sichel | | | |Instrument|
| sicher | sicher | sicher -n | | sicher | | | |
| sicher | un- sicher | ver- unsicher -n | | unsicher | | | |
| sicht | ab- sicht | be- absicht -ig -en | die Absicht | | | |???| "Absicht haben"
| sicht | rück- sicht | be- rücksicht -ig -en | die Rücksicht | | | |Resultat|
| sicht | sicht | be- sicht -ig -en | die Sicht | | | |Resultat|
| sicht | sicht | sicht -en | die Sicht | | | ~ sehen |Resultat|
| sicker | sicker | sicker -n | | | | ~ seihen ~ mnd. sīk "Tümpel" | |
| sie | sie | sie -z -en | | | sie | |Pronomen|
| sieb | sieb | sieb -en | der Sieb | | | |Instrument|
| siech | siech | siech -en | | siech | | | | "krank"
| sied | sied | sied -en | der Sud (A) | | | | |
| siedel | siedel | siedel -n | | | | ~ die Siedlung | |
| sieg | sieg | sieg -en | der Sieg | | | |Resultat|
| siegel | siegel | siegel -n | der Siegel | | | |Meronym|
| siff | siff | ver- siff -en | der Siff | | | Lehnwort < lat. syphilis |Resultat| "schmutz"
| silber | silber | ver- silber -n | das Silber | | | < germ. \*silubara |Meronym|
| simmer | simmer | simmer -n | | | | Lehnwort < en. | |
| simpel | simpel | ver- simpel -n | | simpel | | Lehnwort < fr. simple < lat. simplex | |
| sims | sims | sims -en | | | SMS | neue Innovation |Name|
| sing | sing | sing -en | der Ge- sang (A) | | | |Stimmgeräusch|
| sink | senk (K) | senk -en | die Senk -e | | | |Resultat|
| sink | sink | sink -en | | | | | |
| sinn | sinn -lich | ent/ver- sinnlich -en | | sinnlich | | | |
| sinn | sinn | sinn -en | der Sinn | | | |Empfindung|
| sinn-bild | sinnbild -lich | ver- sinnbildlich -en | | sinnbildlich | | | |
| sinter | sinter | sinter -n | der Sinter | | | < germ. \*sendra |Resultat|
| sippe | sippe | ver- sippe -n | die Sippe | | | |Resultat|
| sirr | sirr | sirr -en | | | | |Tiergeräusch|
| sitte | sitt -lich | ent- sittlich -en | | sittlich | | | |
| sitz | setz (K) | setz -en | | | | | |
| sitz | sitz | sitz -en | der Sitz | | | |Instrument|
| skat | skat | skat -en | der Skat | | | |Instrument| "Skat spielen"
| skate | skate | skate -n | der Skate | | | neues Lehnwort < en. |Instrument|
| sklave | sklave | ver- sklave -n | der Sklave | | | |Resultat|
| skype | skype | skype -n | | | Skype | neues Lehnwort < en. | |
| slide | slide | slide -n | | | | neues Lehnwort < en. | |
| slum | slum | ver- slum -en | der Slum | | | neues Lehnwort < en. |Resultat|
| smok | smok | smok -en | | | | ~ Smokarbeit | | "nähen"
| snack | snack | snack -en | der Snack | | | neues Lehnwort < en. |Verzehr|
| snob | snob | ver- snob -en | der Snob | | | neues Lehnwort < en. |Resultat|
| socke | socke | socke -n | die Socke | | | |Analogon| "rennen, sich auf die Socken machen"
| sockel | sockel | auf- sockel -n | der Sockel | | | |Meronym|
| sohle | sohle | sohle -n | die Sohle | | | |Meronym|
| sohr | sohr | sohr -en | | sohr | | | | "austrocknen"
| sold | sold | be- sold -en | der Sold | | | |Resultat|
| soll | soll | soll -en | | | | | |
| sommer | sommer | be- sömmer -n (U) | der Sommer | | | |???| "Boden nur im Sommer benutzen"
| sonder | sonder | sonder -n | | be-sonder | | ~ absondern | |
| sonne | sonne | sonne -n | die Sonne | | | |Instrument| "von der Sonne bescheinen lassen"
| sorge | sorge | sorge -n | die Sorge | | | |Resultat|
| sott | sott | ver- sott -en | der Sott | | | |Meronym| "Ruß"
| spacht | spacht -el | spachtel -n | die Spachtel | | | ~ Spaten, lat. spatula |Instrument>Diminutiv|
| späh | späh | späh -en | | | | | |
| spalt | spalt | spalt -en | der Spalt | | | |Ort|
| spam | spam | spamm -en | der Spam | | | neues Lehnwort < en. |Resultat|
| span | span | ab/zer- span -en | der Span | | | |Resultat| "Holz zerkleinern"
| span | span | spän -en (U) | der Span | | | |Instrument| "mit Stahlspänen abziehen"
| spanne | spanne | spanne -n | die Spanne | | | ~ Spannung, Spann (Fuß) |Analogon| "straff ziehen, dehnen" (gedehnte Hand)
| spar | spar | spar -en | | | | | |
| spaß | spaß | spaß -en | der Spaß | | | |Resultat|
| spät | spät | ver- spät -en | | spät | | | |
| speck | speck | ab- speck -en | der Speck | | | |Meronym|
| speck | spick (A) | spick -en | | | | | |
| spei | spei | spei -en | | | | ~ speiben | |
| speiche | speiche | ein- speiche -n | die Speiche | | | |Meronym|
| speichel | speichel | speichel -n | der Speichel | | | |Resultat|
| speicher | speicher | speicher -n | der Speicher | | | Lehnwort < lat. spicarium |Ort|
| speise | speise | speise -n | die Speise | | | |Verzehr|
| spektakel | spektakel | spektakel -n | das Spektakel | | | < lat. spectāculum |Resultat|
| spell | zer- spell | zerspell -en | | | | | | "zerspalten"
| spende | spende | spende -n | die Spende | | | |Resultat|
| spenst | ge- spenst -er | gespenster -n | die Gespenster | | | |Lebewesen>Plural|
| sperre | sperre | sperre -n | die Sperre | | | |Resultat|
| spiegel | spiegel | spiegel -n | der Spiegel | | | |Instrument|
| spiel | spiel | spiel -en | das Spiel | | | |Instrument|
| spieß | spieß -er | ver- spießer -n | der Spießer | | | |Instrument>Lebewesen| "zum Spießbürger werden"
| spieß | spieß | spieß -en | der Spieß | | | |Instrument|
| spill | ver- spill | verspill -en | | | | | | "vergeuden"
| spinne | spinne | spinne -n | die Spinne | | | |Lebewesen|
| spitz | spitz -el | spitzel -n | der Spitzel | | | ~ spitz |Eigenschaft>Lebewesen|
| spitz | spitz | spitz -en | | spitz | | | |
| spleiß | spleiß | spleiß -en | der Spleiß | | | |Resultat|
| splint | splint | ver- splint -en | der Splint | | | |Meronym| "Eisenstift"
| split | splitt | splitt -en | | | | neues Lehnwort < en. | |
| splitt | splitt -er | splitter -n | der Splitter | | | ~ mnd. splitten "spalten" |Resultat|
| spoiler | spoiler | spoiler -n | der Spoiler | | | neues Lehnwort < en. |Resultat|
| sponsor | sponser | sponser -n | der Sponsor | | | neues Lehnwort < en. |Lebewesen|
| sporn | sporn | sporn -en | der Sporn | | | |Instrument|
| sport | sport | sport -el -n | der Sport | | | 19. Jhd. Lehnwort < en. |Resultat|
| spott | spott | spött -el -n | | | | |Diminutiv|
| spott | spott | spott -en | der Spott | | | |Resultat|
| spratz | zer- spratz | zerspratz -en | | | | | | "zerplatzen"
| spray | spray | spray -en | der Spray | | | neues Lehnwort < en. |Instrument|
| sprech | an- spruch (A) | be- anspruch -en | der Anspruch | | | |Resultat|
| sprech | ein- spruch (A) | be- einspruch -en | der Einspruch | | | |Resultat|
| sprech | sprach -lich (A) | ver- sprachlich -en | | sprachlich | | | |
| sprech | sprech | sprech -en | die Sprach -e (A) | | | |Stimmgeräusch|
| spreit | spreit | spreit -en | | | | ~ nl. spreiden | |
| spreiz | spreiz | spreiz -en | | | | ~ sprießen | |
| spreng | spren | spren -z -en | | | | ≠ springen | | "regnen"
| spreng | spreng | spreng -en | | | | ≠ springen | | "feucht machen"
| spreng | sprenk -el | sprenkel -n | der Sprenkel | | | ≠ springen |Resultat|
| sprieß | sprieß | sprieß -en | der Sprieß | | | |Resultat|
| spring | spreng (K) | spreng -en | die Spreng -ung | | | | |
| spring | spring | spring -en | | | | |Körperbewegung|
| sprint | sprint | sprint -en | der Sprint | | | neues Lehnwort < en. |Resultat|
| spritze | spritze | spritze -n | die Spritze | | | |Instrument|
| spröde | spröde | ver- spröde -n | | spröde | | | |
| spross | spross | spross -en | der Spross | | | |Resultat|
| sprudel | sprudel | sprudel -n | der Sprudel | | | |Ort| "Quelle > Getränk"
| sprüh | sprüh | sprüh -en | | | | | |
| spucke | spucke | spucke -n | die Spucke | | | |Resultat|
| spuk | spuk | spuk -en | der Spuk | | | |Resultat|
| spül | spül | spül -en | die Spül -ung | | | | |
| spule | spule | spule -n | die Spule | | | |Instrument|
| spund | spund | spund -en | der Spund | | | |Resultat|
| spur | spur | spür -en (U) | die Spur | | | |Instrument| "empfinden, Spur nachgehen"
| spur | spur | spur -en | die Spur | | | |Analogon| "gehorchen, Spur folgen"
| spurt | spurt | spurt -en | der Spurt | | | neues Lehnwort < en. |Resultat|
| sput | sput | sput -en | | | | ~ nl. spoed |Körperbewegung| "beeilen"
| staat | staat -lich | ver- staatlich -en | | staatlich | | | |
| stadt | städt -er (U) | ver- städter -n | der Städter | | | |Ort>Lebewesen|
| stadt | statt | ab/aus/be/er- statt -en | die Stadt | | | ~ Stätte, anstatt |Ort|
| staffel | staffel | staffel -n | die Staffel | | | < germ. \*stapula |Instrument| "nach Staffel ordnen"
| stahl | stahl | stähl -en (U) | das Stahl | | | |Analogon|
| stak | stak | stak -en | der Stak -en | | | |Instrument| "mit einer Stake das Boot schieben"
| stak | stak | stak -s -en | | | | | | "ungelenk laufen"
| stalk | stalk | stalk -en | | | | neues Lehnwort < en. | |
| stall | stall | ein- stall -en | der Stall | | | |Ort|
| stalt | an- stalt | ver- anstalt -en | die Anstalt | | | |Resultat|
| stalt | ge- stalt | gestalt -en | die Gestalt | | | |Lebewesen|
| stalt | stalt | ver- un- stalt -en | die Ge- stalt | | | | |
| stamm | stamm | stamm -en | der Stamm | | | ~ abstammen |Analogon|
| stamp | stampf | stampf -en | | | | < germ. \*stampōn |Körperbewegung|
| stamp | stemp -el (U) | stempel -n | der Stempel | | | ~ stampfen |Instrument|
| stand | an- stand | be- anstand -en | der Anstand | | | |???| "bemängeln"
| stand | bei- stand | ver- beiständ -en (U) | der Beistand | | | |Resultat| "Beistand leisten"
| stand | selbst- ständ -ig (U) | ver- selbstständig -en | | selbstständig | | | |
| stand | ständ -er (U) | auf- ständer -n | der Ständer | | | ~ stehen |Instrument|
| stand | voll- ständ -ig (U) | ver- vollständig -en | | vollständig | | | |
| stanze | stanze | stanze -n | die Stanze | | | |Instrument|
| stapel | stapel | stapel -n | der Stapel | | | < germ. \*stapula |Resultat|
| stapf | stapf | stapf -en | der Stapf | | | ~ Stapfe, Stapfen |Resultat|
| stark | stark | er- stark -en | | stark | | | |
| stark | stark | stärk -en (U) | | stark | | | |
| starr | starr | starr -en | | starr | | | |
| start | start | start -en | der Start | | | 20. Jhd. Lehnwort < en. |Resultat|
| statt | ge- statt | gestatt -en | | | | ~ Status | | "erlauben"
| stau | stau | stau -en | der Stau | | | |Resultat|
| staub | staub | stäub -en (U) | der Staub | | | ~ stieben |Resultat|
| staub | staub | staub -en | der Staub | | | ~ stieben |Resultat| "Staub produzieren"
| staub | stöb -er | stöber -n | der Stöber | | | |Instrument|
| stauch | stauch | stauch -en | die Stauch -ung | | | ~ verstauchen | |
| staun | staun | staun -en | | | | | |
| staupe | staupe | stäupe -n (U) | die Staupe | | | |Ort| "Schandpfahl"
| stech | stach -el (A) | stachel -n | der Stachel | | | ~ stechen |Instrument| "mit Stacheln stechen"
| stech | stech | stech -en | | | | | |
| stech | stich (A) | stich -el -n | der Stich | | | |KleineSchritte| "mit kleinen Stichen nähen"
| stech | stoch -er (A) | stocher -n | der Stocher | | | ~ mnd. stōken ~ nl. stoken "Feuer schüren" |Instrument|
| steck | steck | steck -en | | | | ~? stechen | |
| steh | steh | steh -en | | | | ~ be/ge/ver/entstehen (andere Bedeutung) | |
| stehl | stehl | stehl -en | | | | | |
| steif | steif | steif -en | | steif | | | |
| steig | steig | steig -en | die Steig -ung | | | ~ Steige | |
| steig | steig | steig -er -n | die Steig -ung | | | ~ Steige | |
| stein | stein | ent- stein -en | der Stein | | | |Meronym|
| stein | stein | stein -ig -en | der Stein | | | |Instrument|
| stein | stein | ver- stein -er -n | der Stein | | | |Resultat|
| steiß | steiß | ent- steiß -en | der Steiß | | | |Ort| "unterm Hintern >? durch schmeicheln abnehmen"
| stell | stell | stell -en | die Stell -e | | | |Ort|
| stelze | stelze | stelze -n | die Stelze | | | |Analogon|
| stemm | stemm | stemm -en | | | | |Körperbewegung|
| step | stepp | stepp -en | | | | neues Lehnwort < en. | | "tanzen"
| stepp | stepp | stepp -en | | | | | | "nähen"
| sterb | sterb | sterb -en | | | | | |
| stetig | stetig | be- stätig -en | | stetig | | | |
| stetig | stetig | ver- stetig -en | | stetig | | | |
| steuer | steuer | steuer -n | das Steuer | | | < germ. \*steurija |Instrument|
| stibitz | stibitz | stibitz -en | | | | | |
| stick | stick | stick -en | | | | ~? Stich | |
| stieb | stieb | stieb -en | | | | ~ Staub | | "umherwirblen"
| stiefel | stiefel | stiefel -n | der Stiefel | | | < lat. aestivalia |Analogon|
| stiel | stiel | ent- stiel -en | der Stiel | | | |Meronym|
| stiem | stiem | stiem -en | | | | | | "schneien"
| stier | stier | stier -en | | stier | | | | "starren"
| stift | stift | stift -en | das Stift | | | |Resultat|
| still | still | still -en | | still | | | |
| stimme | stimme | stimme -n | die Stimme | | | |???| "Stimme benutzen"
| stink | stänk -er (A) | stänker -n | der Stänker | | | < mhd. stenken |Instrument|
| stink | stink | stink -en | der Ge- stank (A) | | | | |
| stippe | stippe | stippe -n | die Stippe | | | |Resultat|
| stock | stöck -el (U) | stöckel -n | der Stöckel -Schuh | | | |Instrument>Diminutiv|
| stock | stock | stock -en | der Stock | | | |Analogon| "steif wie ein Stock"
| stoff | stoff -lich | ent/ver- stofflich -en | | stofflich | | | |
| stöhn | stöhn | stöhn -en | | | | |Stimmgeräusch|
| stolper | stolper | stolper -n | | | | |Körperbewegung|
| stopf | stopf | stopf -en | der Stopf -en | | | |Instrument|
| stopp | stöp -sel (U) | stöpsel -n | der Stöpsel | | | |Instrument|
| stopp | stopp | stopp -en | der Stopp | | | 20. Jhd. Lehnwort < en. |Resultat|
| stoppel | stoppel | stoppel -n | die Stoppel | | | Lehnwort < lat. stipula |Resultat|
| stör | stör | stör -en | | | | | |
| storch | storch | storch -en | der Storch | | | |Lebewesen|
| stoß | stoß | stoß -en | der Stoß | | | |Resultat|
| stotter | stotter | stotter -n | | | | |Stimmgeräusch|
| strabanz | strabanz | strabanz -en | | | | ~? it. stravagante |Körperbewegung| "umherstreifen"
| strafe | strafe | strafe -n | die Strafe | | | |Resultat|
| straff | straff | straff -en | | straff | | | |
| strahl | strahl | strahl -en | der Strahl | | | |Resultat|
| strähne | strähne | strähne -n | die Strähne | | | |Resultat|
| stramm | stramm | stramm -en | | stramm | | | | "fest spannen"
| strampel | strampel | strampel -n | | | | |Körperbewegung|
| strand | strand | strand -en | der Strand | | | |Ort|
| strang | strang | ab/an- sträng -en | der Strang | | | |Instrument| "Pferde am Wagen festmachen"
| sträub | sträub | sträub -en | | | | | | "Federn aufrichten"
| strauchel | strauchel | strauchel -n | | | | |Körperbewegung|
| stream | stream | stream -en | der Stream | | | neues Lehnwort < en. |Resultat|
| streb | streb | streb -en | | | | | | "bemühen, auf ein Ziel hin arbeiten"
| streb | streb | ver- streb -en | die Streb -e | | | |Meronym|
| strecke | strecke | strecke -n | die Strecke | | | |Resultat|
| streich | streich | streich -el -n | | | | |Diminutiv|
| streich | streich | streich -en | der Strich (A) | | | |Körperbewegung|
| streif | streif | streif -en | der Streif -en | | | |Meronym|
| streik | streik | streik -en | der Streik | | | |Resultat|
| streit | streit | streit -en | der Streit | | | |Resultat|
| stremm | stremm | stremm -en | | | | | |
| streng | streng | an- streng -en | | streng | | | |
| strenz | strenz | strenz -en | | | | | | "stehlen"
| stress | stress | stress -en | der Stress | | | neues Lehnwort < en. |Resultat|
| stretch | stretch | stretch -en | | | | neues Lehnwort < en. | |
| streu | streu | streu -en | die Streu | | | |Resultat|
| streun | streun | streun -en | | | | |Körperbewegung|
| strich | strich | strich -el -n | der Strich | | | |Meronym|
| strich | strich | strich -en | der Strich | | | |Ort|
| strick | strick | strick -en | der Strick | | | |Instrument|
| striegel | striegel | striegel -n | der Striegel | | | Lehnwort < lat. strigilis |Instrument|
| strip | strip | stripp -en | der Strip | | | neues Lehnwort < en. |Resultat|
| strolch | strolch | strolch -en | der Strolch | | | |Lebewesen|
| strom | strom -er | stromer -n | der Stromer | | | |Analogon>Lebewesen| "umherstreifen"
| strom | strom | ström -en (U) | der Strom | | | |Analogon| "bewegen wie ein Strom"
| strom | strom | ver- strom -en | der Strom | | | |Resultat|
| strotz | strotz | strotz -en | | | | | |
| strubbel | strubbel | strubbel -n | | | | ~ strubbelig ~ zerstrubbeln | | "Haare zerzausen"
| strudel | strudel | strudel -n | der Strudel | | | |Analogon| "bewegen wie ein Strudel"
| strull | strull | strull -en | | | | |Körperbewegung| "pinkeln"
| strull | strull | strull -er -n | | | | | | "pinkeln"
| strunze | strunze | strunze -n | die Strunze | | | |Lebewesen| "umherscheifen"
| stück | stück | be/zer- stück -en | das Stück | | | |Meronym|
| stück | stück | stück -el -n | das Stück | | | |Meronym|
| stufe | stufe | stufe -n | die Stufe | | | |Analogon| "stufenformig anordnen"
| stuhl | stuhl | be- stuhl -en | der Stuhl | | | |Meronym|
| stuk | stuk | stuk -en | | | | |Körperbewegung| "anstoßen"
| stulpe | stulpe | stülpe -n (U) | die Stulpe | | | |Analogon|
| stumm | stamm (A) | stamm -er -n | | stumm | | |Stimmgeräusch|
| stumm | stamm | stamm -el -n | | stumm | | |Stimmgeräusch|
| stumm | stumm | ver- stumm -en | | stumm | | | |
| stummel | stummel | ver- stümmel -n (U) | der Stummel | | | |Resultat|
| stumpf | stümp -er (U) | stümper -n | der Stümper | | | ~ der Stumpf "Rest" |Analogon>Lebewesen|
| stumpf | stumpf | ab- stumpf -en | | stumpf | | | |
| stunde | stunde | stunde -n | die Stunde | | | |???| "Aufschub gewähren"
| stupp | stup -s | stups -en | der Stups | | | |Resultat|
| stupp | stupf | stupf -en | | | | |Körperbewegung| "stupsen"
| sturm | sturm | stürm -en (U) | der Sturm | | | |Resultat|
| sturz | sturz | stürz -en (U) | der Sturz | | | < germ. \*sturtjan |Resultat|
| stutz | stutz | stutz -en | | | | | |
| stütze | stütze | stütze -n | die Stütze | | | |Instrument|
| style | style | style -n | der Style | | | neues Lehnwort < en. |Resultat|
| suche | suche | suche -n | die Suche | | | |Resultat|
| sucht | sucht | sucht -en | die Sucht | | | |Empfindung| "Sucht haben"
| süd | süd | süd -en | der Süd -en | | | |Ort|
| sudel | sudel | sudel -n | der Sudel | | | |Ort|
| suder | suder | suder -n | | | | |Stimmgeräusch|
| suhl | suhl | siel -en (U) | | | | | | "sich wälzen"
| suhl | suhl | suhl -en | die Suhl -e | | | |Ort|
| sühn | söhn (A) | aus/ver- söhn -en | die Versöhn -ung | | | | | "Feindschaft beilegen"
| sühn | sühn | sühn -en | die Sühn -e | | | |Resultat|
| sülze | sülze | sülze -n | die Sülze | | | ~ Salz |Resultat|
| summ | summ | sum -s -en | | | | |Tiergeräusch|
| summ | summ | summ -en | | | | |Tiergeräusch|
| sumpf | sumpf | sümpf -en (U) | | | | | | "entwässern"
| sumpf | sumpf | sumpf -en | der Sumpf | | | |Resultat|
| sund | ge- sund | gesund -en | | gesund | | | |
| sünde | sünd -ig | sündig -en | | sündig | | | |
| suppe | suppe | suppe -n | die Suppe | | | |Analogon|
| surf | surf | surf -en | | | | neues Lehnwort < en. | |
| surr | surr | surr -en | | | | |Tiergeräusch|
| süß | süß | süß -en | | süß | | | |
| swing | swing | swing -en | der Swing | | | neues Lehnwort < en. |Resultat|
| swipe | swipe | swipe -n | | | | neues Lehnwort < en. | |
| switch | switch | switch -en | der Switch | | | neues Lehnwort < en. |Resultat|
| tack | tack -er | tacker -n | der Tacker | | | neue Innovation < en. to tack |Instrument|
| tack | tack | tack -en | | | | |Dinggeräusch|
| tadel | tadel | tadel -n | der Tadel | | | |Resultat|
| tafel | tafel | tafel -n | die Tafel | | | |Ort|
| tafel | tafel | ver/aus- täfel -n (U) | die Tafel | | | |Instrument|
| tag | tag | tag -en | der Tag | | | |Resultat|
| tagg | tagg | tagg -en | das Tag | | | neues Lehnwort < en. |Resultat|
| takel | takel | takel -n | das Takel | | | |Instrument|
| takt | takt | takt -en | der Takt | | | |Resultat|
| talg | talg | talg -en | der Talg | | | |Meronym| "mit Talg beschmieren"
| talk | talk | talk -en | | | | neues Lehnwort < en. | |
| tand | tand | tänd -el -n (U) | | | | < lat. tant-um "Kleinigkeit" |Analogon| "spielen"
| tank | tank | tank -en | der Tank | | | |Ort|
| tanz | tanz | tänz -el -n (U) | | | | |KleineSchritte|
| tanz | tanz | tanz -en | der Tanz | | | |Resultat|
| taper | taper | taper -n | | | | |Körperbewegung| "vorsichtig gehen"
| tapp | tapp | tap -s -en | | | | | |
| tapp | tapp | tapp -el -n | | | | |KleineSchritte|
| tapp | tapp | tapp -en | | | | |Körperbewegung|
| tarn | tarn | tarn -en | die Tarn -ung | | | | |
| tasche | tasche | ein- tasche -n | die Tasche | | | |Ort|
| taser | taser | taser -n | der Taser | | | neues Lehnwort < en. |Instrument|
| taste | taste | taste -n | die Taste | | | |Instrument|
| tat | tät -ig (U) | tätig -en | | tätig | | | |
| tatsch | tatsch | tätsch -el -n (U) | | | | |Diminutiv| "liebkosen"
| tatsch | tatsch | tätsch -en (U) | | | | |Körperbewegung| "zudringlich streicheln"
| tatsch | tatsch | tatsch -en | | | | |Körperbewegung|
| tatter | tatter | tatter -n | | | | |Körperbewegung| "zittern"
| tau 1 | tau | tau -en | der Tau | | | |Resultat|
| tau 2 | tau | ver- täu -en (U) | das Tau | | | |Instrument|
| taub | taub | be- täub -en (U) | | taub | | | |
| taub | taub | er- taub -en | | taub | | | |
| tauch | tauch | tauch -en | | | | |Körperbewegung|
| taufe | taufe | taufe -n | die Taufe | | | |Resultat|
| taug | taug | taug -en | | | | | |
| taum | taum -el | taumel -n | der Taumel | | | < ahd. tūmōn |Resultat|
| tausch | tausch | täusch -en (U) | | | | ~ tauschen | | "irreführen"
| tausch | tausch | tausch -en | der Tausch | | | |Resultat|
| teer | teer | teer -en | der Teer | | | |Meronym|
| teidig | ver- teidig | verteidig -en | | | | ~ tagedingen "gerichtlich verhandeln" | |
| teig | teig | an/ein- teig -en | der Teig | | | |Resultat/Instrument|
| teil | teil | be- teil -ig -en | das Teil | | | |Resultat| "teilnehmen, ein Teil sein"
| teil | teil | teil -en | das Teil | | | |Resultat|
| teil | ur- teil | ver- urteil -en | das Urteil | | | ~ nl oor- ≠ nl. oer- |Resultat|
| teil | vor- teil | be- vorteil -en | der Vorteil | | | |Resultat|
| test | test | test -en | der Test | | | neues Lehnwort < en. |Resultat|
| teuer | teuer | be/über- teuer -n | | teuer | | | |
| teufel | teufel | ver- teufel -n | der Teufel | | | Lehnwort < gr. diábolos |Lebewesen|
| text | text | text -en | der Text | | | neues Lehnwort < en. |Resultat|
| thron | thron | thron -en | der Thron | | | |Analogon|
| tick 1 | tick | tick -en | | | | | | "Ticklaut machen"
| tick 2 | ver- tick | vertick -en | | | | ~? verzeihen | | "verkaufen"
| tick 2 | ver- tick | vertick -er -n | | | | ~? verzeihen | | "verkaufen"
| tief | tief | ver- tief -en | | tief | | | |
| tier | tier | ver- tier -en | das Tier | | | |Lebewesen|
| tiger | tiger | tiger -n | der Tiger | | | Lehnwort < lat. tigris |Lebewesen|
| tilg | tilg | tilg -en | die Tilg -ung | | | | |
| time | time | time -n | | | | neues Lehnwort < en. | |
| tinder | tinder | tinder -n | | | Tinder | |Name|
| tingel | tingel | tingel -n | | | | | | "auftreten"
| tipp | tipp | tipp -el -n | | | | |KleineSchritte|
| tipp | tipp | tipp -en | | | | 20. Jhd. Lehnübersetzung < en. |Körperbewegung|
| tisch | tisch -ler | tischler -n | der Tischler | | | |Resultat>Lebewesen|
| tisch | tisch | auf- tisch -en | der Tisch | | | |Ort|
| titel | titel | titel -n | der Titel | | | |Resultat|
| titsch | titsch | titsch -en | | | | | | "tunken"
| toast | toast | toast -en | der Toast | | | 19. Jhd. Lehnwort < en. |Resultat|
| tob | tob | tob -en | | | | ~ taub | |
| tobak | tobak | ver- tobak -en | der Tobak | | | |???| "verprügeln"
| töggel | töggel | töggel -n | der Töggel | | | |Instrument| "Spielfigur > Tischfußball spielen"
| toll | toll | toll -en | | toll | | | |
| tölpel | tölpel | tölpel -n | der Tölpel | | | |Lebewesen| "stolpern"
| ton | ton | be/ver- ton -en | der Ton | | | |Resultat|
| ton | ton | tön -en (U) | der Ton | | | |Resultat|
| topf | töpf -er (U) | töpfer -n | der Töpfer | | | |Resultat>Lebewesen|
| topf | topf | um- topf -en | der Topf | | | |Ort|
| topp | topp | topp -en | der Topp | | | |Ort| "Mastbaumspitze > hochziehen (Segelboot) > übertreffen"
| tor | tor | be- tör -en (U) | der Tor | | | |Lebewesen|
| torf | torf | ver- torf -en | der Torf | | | |Resultat|
| torkel | torkel | torkel -n | der Torkel | | | Lehnwort < lat. torcula "Weinpresse" |Resultat|
| törn | an- törn | antörn -en | | | | 20. Jhd. Lehnwort < en. to turn on ≠ der Törn | |
| tos | tos | tos -en | | | | |Dinggeräusch|
| tot | tot | töt -en (U) | | tot | | | |
| tour | tour | tour -en | die Tour | | | |Resultat|
| trab | trab | trab -en | der Trab | | | |Resultat|
| tracht | tracht | tracht -en | | | | ~ Traktat ≠ die Tracht | |
| track | track | track -en | | | | neues Lehnwort < en. | |
| trade | trade | trade -n | | | | neues Lehnwort < en. | |
| trag | auf- trag | be- auftrag -en | der Auftrag | | | |Resultat|
| trag | ein- träch -t -ig (U) | be- einträchtig -en | | einträchtig | | ~ tragen ≠ Eintracht | |
| trag | trag | trag -en | die Trag -e | | | |Instrument|
