 |WURZEL|STAMM|VERB|NOMEN|ADJEKTIV|WEITERE|KOGNATE|BEDEUTUNG|GLOSE
| breit | breit | breit -en | | breit | | | |
| bremse | bremse | bremse -n | die Bremse | | | |Instrument|
| brenn | bren | bren -zel -n | | | | ~ brenzlig | |
| brenn | brenn | brenn -en | | | | | |
| brett | brett -er | bretter -n | die Bretter | | | neue Innovation ~? "Ski fahren" |Analogon>Plural|
| breze | breze -l | auf- brezel -n | die Brezel | | | Lehnwort < lat. bracchium |Resultat>Diminutiv|
| brief | brief | brief -en | | | | neues Lehnwort < en. to brief < lat. brevis | |
| brief | brief | ver- brief -en | der Brief | | | Lehnwort < lat. brevis |Instrument|
| bring | bring | bring -en | | | | | |
| brise | brise | auf- brise -n | die Brise | | | |Resultat|
| brock | brock | bröck -el -n (U) | | | | |KleineSchritte|
| brock | brock | brock -en | der Brock -en | | | |Resultat|
| brod | brod -el | brodel -n | der Brodel | | | < ahd. brod "Brühe" |Resultat>Diminutiv| "dampfen"
| bros | brös -el (U) | brösel -n | der Brösel | | | ~ Brosame |Resultat>Diminutiv|
| browse | browse | browse -n | | | | neues Lehnwort < en. | |
| brücke | brücke | über- brücke -n | die Brücke | | | |Instrument|
| bruddel | bruddel | bruddel -n | | | | |Stimmgeräusch| "schimpfen"
| bruder | brüd -er (U) | ver- brüder -n | die Brüder | | | |Lebewesen>Plural|
| brühe | brühe | brühe -n | die Brühe | | | |Resultat|
| brüll | brüll | brüll -en | | | | |Stimmgeräusch|
| brumm | brumm | brümm -el -n (U) | | | | |Diminutiv|
| brumm | brumm | brumm -el -n | | | | |Diminutiv|
| brumm | brumm | brumm -en | | | | |Stimmgeräusch|
| brunft | brunft | brunft -en | die Brunft | | | |Analogon|
| brunn | brun -z | brunz -en | der Brunz | | | ~ Brunnen |Resultat|
| brust | brust | brüst -en (U) | die Brust | | | |Analogon|
| brut | brut | brüt -en (U) | die Brut | | | |Resultat|
| bubber | bubber | bubber -n | | | | |Körperbewegung| "Herz pochen"
| buch | buch | buch -en | das Buch | | | |Ort|
| bucht | bucht | aus/ein- bucht -en | die Bucht | | | |Ort|
| bück | bück | bück -en | | | | |Körperbewegung|
| buckel | buckel | buckel -n | der Buckel | | | Lehnwort < lat. buccula ≠ bücken |Resultat|
| buddel | buddel | buddel -n | | | | | |
| büffel | büffel | büffel -n | | | | ~ puffen ≠ Büffel | |
| buh | buh | buh -en | | | | |Tiergeräusch|
| buhle | buhle | buhle -n | der Buhle | | | |Lebewesen|
| bühr | ge- bühr | gebühr -en | die Gebühr | | | ~ gebären |Resultat|
| buller | buller | buller -n | | | | |Dinggeräusch| "dröhnen"
| bumm | bum | bum -s -en | | | bumm | |Dinggeräusch|
| bumm | bumm | bumm -er -n | | | bumm | |Dinggeräusch| "lauf klopfen"
| bummel | bummel | bummel -n | der Bummel | | | ~? bumm |Resultat|
| bund | bünd -el (U) | bündel -n | das Bündel | | | |Resultat>Diminutiv|
| bund | bund | ver- bünd -en (U) | der Bund | | | |Resultat|
| bunker | bunker | bunker -n | der Bunker | | | 19. Jhd. Lehnwort < en. |Ort|
| bürde | bürde | bürde -n | die Bürde | | | ~ aufbürden |Resultat|
| burg | bürg -er (U) | aus/ein- bürger -n | der Bürger | | | |Ort>Lebewesen|
| bürge | bürge | bürge -n | der Bürge | | | |Resultat|
| bürger | bürger -lich | ver- bürgerlich -en | | bürgerlich | | | |
| bürste | bürste | bürste -l -n | die Bürste | | | |Instrument|
| bürste | bürste | bürste -n | die Bürste | | | |Instrument|
| busch | busch -el (U) | büschel -n | das Büschel | | | |Resultat>Diminutiv|
| busch | busch | ver- busch -en | der Busch | | | |Instrument|
| buss | buss -el | bussel -n | das Bussel | | | ~ Bussi, Busserl |Resultat>Diminutiv| "küssen"
| buss | buss | buss -en | | | | ~ bützen |Körperbewegung| "küssen"
| buße | buße | büße -n (U) | die Buße | | | |Resultat|
| butter | butter | butter -n | die Butter | | | ~ grk. bū́s-tȳrós "Kuh-Käse" |Resultat|
| bütz | bütz | bütz -en | | | | ~ bussen |Körperbewegung| "küssen"
| büx | büx | aus- büx -en | die Büx | | | ~ Buxe |Analogon|
| cache | cache | cache -n | der Cache | | | neues Lehnwort < en. |Resultat|
| camp | camp | camp -en | das Camp | | | neues Lehnwort < en. |Ort|
| cancel | cancel | cancel -n | | | | neues Lehnwort < en. | |
| carve | carve | carve -n | | | | neues Lehnwort < en. | |
| cast | cast | cast -en | der Cast | | | neues Lehnwort < en. |Resultat|
| catch | catch | catch -en | | | | neues Lehnwort < en. | |
| charter | charter | charter -n | der Charter | | | neues Lehnwort < en. |Instrument|
| chat | chat | chatt -en | der Chat | | | neues Lehnwort < en. |Resultat|
| check | check | check -en | der Check | | | neues Lehnwort < en. |Resultat|
| chill | chill | chill -en | | | | neues Lehnwort < en. | |
| chip | chip | chipp -en | der Chip | | | neues Lehnwort < en. |Instrument|
| chlor | chlor | chlor -en | das Chlor | | | |Instrument|
| christ | christ -lich | ent/ver- christlich -en | | christlich | | | |
| chrom | chrom | ver- chrom -en | das Chrom | | | 19. Jhd. Lehnwort < fr. chrome |Meronym|
| cluster | cluster | cluster -n | das Cluster | | | neues Lehnwort < en. |Resultat|
| coach | coach | coach -en | der Coach | | | neues Lehnwort < en. |Lebewesen|
| code | code | code -n | der Code | | | neues Lehnwort < en. |Resultat|
| commit | committ | committ -en | | | | neues Lehnwort < en. | |
